Date,Team,Acquired,Relinquished,Notes,salaries
3/30/2012,Timberwolves,,Jose Barea ,bruised right quadricep (DNP),#REF!
3/30/2012,Timberwolves,,Michael Beasley,strained left big toe (DNP),#REF!
3/30/2012,Warriors,,Andris Biedrins,strained right groin (DNP),#REF!
3/30/2012,Rockets,,Malcolm Thomas ,placed on IL (F),#REF!
3/31/2012,Bobcats,,Corey Maggette,placed on IL with strained right Achilles tendon,#REF!
3/31/2012,Bobcats,DeSagana Diop,,activated from IL,#REF!
3/31/2012,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP),#REF!
3/31/2012,Grizzlies,,Dante Cunningham,sprained left ankle (DNP),#REF!
3/31/2012,Grizzlies,,Mike Conley Jr.,sore right ankle (DNP),#REF!
3/31/2012,Hawks,,Tracy McGrady,illness (DNP),#REF!
3/31/2012,Hawks,,Vladimir Radmanovic,back injury (DNP),#REF!
3/31/2012,Hornets,,Carl Landry,sprained right ankle (DNP),#REF!
3/31/2012,Hornets,,Chris Kaman,illness (DNP),#REF!
3/31/2012,Hornets,,Emeka Okafor,sore left knee (DNP),#REF!
3/31/2012,Hornets,,Trevor Ariza,sore right ankle (DNP),#REF!
3/31/2012,Jazz,,Josh Howard,surgery on left knee (DNP) (F),#REF!
3/31/2012,Knicks,,Jared Jeffries,placed on IL with sore right knee,#REF!
3/31/2012,Knicks,,Jeremy Lin,sore left knee (P) (DNP),#REF!
3/31/2012,Knicks,Bill Walker,,activated from IL,#REF!
3/31/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
3/31/2012,Nets,,Shelden Williams,right eye injury (DNP),#REF!
3/31/2012,Pistons,,Ben Gordon,sore groin (DNP),#REF!
3/31/2012,Pistons,,Rodney Stuckey,sore left hamstring (DNP),#REF!
4/1/2012,Blazers,,Joel Przybilla,sprained right knee (DNP),#REF!
4/1/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
4/1/2012,Celtics,,Ray Allen,sore right ankle (DNP),#REF!
4/1/2012,Heat,,Eddy Curry,placed on IL,#REF!
4/1/2012,Hornets,,Carl Landry,sprained right ankle (DNP),#REF!
4/1/2012,Hornets,,Emeka Okafor,sore left knee (DNP) (P),#REF!
4/1/2012,Hornets,,Emeka Okafor,placed on IL (F) (out for season),#REF!
4/1/2012,Hornets,,Trevor Ariza,sore right ankle (DNP) (P),#REF!
4/1/2012,Hornets,,Trevor Ariza,placed on IL (F),#REF!
4/1/2012,Magic,,Dwight Howard,placed on IL with back injury,#REF!
4/1/2012,Magic,Justin Harper,,activated from IL,#REF!
4/1/2012,Nuggets,,Wilson Chandler,strained left groin (DTD),#REF!
4/1/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
4/1/2012,Rockets,,Kyle Lowry,bacterial infection (DNP) (F),#REF!
4/1/2012,Timberwolves,,Darko Milicic,strained right hamstring (DNP),#REF!
4/1/2012,Timberwolves,,Jose Barea ,bruised right quadricep (DNP),#REF!
4/1/2012,Timberwolves,,Michael Beasley,placed on IL with strained left big toe,#REF!
4/1/2012,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP),#REF!
4/1/2012,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),#REF!
4/1/2012,Timberwolves,Nikola Pekovic,,activated from IL,#REF!
4/1/2012,Timberwolves,,Nikola Pekovic,bone spurs in right ankle (DNP),#REF!
4/2/2012,Blazers,,Jamal Crawford,right knee injury (DNP),#REF!
4/2/2012,Bucks,,Beno Udrih,left hand injury (DNP),#REF!
4/2/2012,Bulls,,Derrick Rose,strained groin (DNP),#REF!
4/2/2012,Bulls,Richard Hamilton,,activated from IL (P),#REF!
4/2/2012,Cavaliers,,Daniel Gibson,surgery on left foot and ankle to repair torn tendon,#REF!
4/2/2012,Grizzlies,,Dante Cunningham,sprained left ankle (DNP),#REF!
4/2/2012,Grizzlies,,Mike Conley Jr.,sore right ankle (DNP),#REF!
4/2/2012,Jazz,,Josh Howard,surgery on left knee (DNP) (F),#REF!
4/2/2012,Knicks,,Jeremy Lin,surgery on left knee to repair torn meniscus (out for season),#REF!
4/2/2012,Mavericks,,Jason Kidd,placed on IL with strained right groin,#REF!
4/2/2012,Mavericks,,Lamar Odom,illness (DNP),#REF!
4/2/2012,Mavericks,Dominique Jones,,activated from IL,#REF!
4/2/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
4/2/2012,Rockets,,Kyle Lowry,bacterial/sinus infection (DNP) (F),#REF!
4/2/2012,Thunder,,Reggie Jackson ,placed on IL,#REF!
4/2/2012,Thunder,Daequan Cook,,activated from IL,#REF!
4/2/2012,Timberwolves,,Darko Milicic,strained right hamstring (DNP),#REF!
4/2/2012,Timberwolves,,Jose Barea ,bruised right quadricep (DNP),#REF!
4/2/2012,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP),#REF!
4/2/2012,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),#REF!
4/3/2012,Bobcats,,DeSagana Diop,placed on IL (F),#REF!
4/3/2012,Cavaliers,,Daniel Gibson,recovering from surgery on left foot and ankle to repair torn tendon (DNP),#REF!
4/3/2012,Heat,,Dwyane Wade,placed on IL with bruised left knee,#REF!
4/3/2012,Heat,Eddy Curry,,activated from IL,#REF!
4/3/2012,Kings,,Marcus Thornton ,calf injury (DTD),#REF!
4/3/2012,Knicks,,Bill Walker,sore left elbow (DNP),#REF!
4/3/2012,Knicks,,Jeremy Lin,recovering from surgery on left knee to repair torn meniscus (DNP),#REF!
4/3/2012,Lakers,,Andrew Bynum,sprained left ankle (DNP),#REF!
4/3/2012,Magic,,Jameer Nelson,placed on IL with calf injury,#REF!
4/3/2012,Magic,,Ryan Anderson,placed on IL with sprained right ankle,#REF!
4/3/2012,Magic,Von Wafer,,activated from IL,#REF!
4/3/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
4/3/2012,Nets,,Shelden Williams,right eye injury (DNP),#REF!
4/3/2012,Raptors,,Gary Forbes,sore left knee (DTD),#REF!
4/3/2012,Magic,Dwight Howard,,activated from IL,#REF!
4/3/2012,Magic,,Dwight Howard,back spasms (DNP),#REF!
4/4/2012,Bucks,,Drew Gooden,sore back (DNP),#REF!
4/4/2012,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP),#REF!
4/4/2012,Hawks,,Vladimir Radmanovic,placed on IL with back injury,#REF!
4/4/2012,Hawks,Jannero Pargo,,activated from IL,#REF!
4/4/2012,Heat,,Eddy Curry,placed on IL,#REF!
4/4/2012,Heat,Dwyane Wade,,activated from IL,#REF!
4/4/2012,Hornets,,Chris Johnson ,concussion (DNP),#REF!
4/4/2012,Hornets,,Emeka Okafor,placed on IL (P) with sore left knee (out for season),#REF!
4/4/2012,Hornets,,Jarrett Jack,sore right ankle (P) / right foot injury (CBC) (DNP),#REF!
4/4/2012,Hornets,Eric Gordon,,activated from IL,#REF!
4/4/2012,Jazz,,Devin Harris,sprained left ankle (DNP),#REF!
4/4/2012,Nets,,Deron Williams,stomach virus (DNP),#REF!
4/4/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
4/4/2012,Nets,,Shelden Williams,right eye injury (DNP),#REF!
4/4/2012,Nuggets,,Wilson Chandler,strained left groin (DNP),#REF!
4/4/2012,Raptors,,Gary Forbes,sore left knee (DNP),#REF!
4/4/2012,Suns,,Grant Hill,recovering from surgery on right knee to repair torn meniscus (DNP),#REF!
4/4/2012,Timberwolves,,Darko Milicic,strained right hamstring (DNP),#REF!
4/4/2012,Timberwolves,,Luke Ridnour,placed on IL with sprained right ankle (out for season),#REF!
4/4/2012,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP),#REF!
4/4/2012,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),#REF!
4/4/2012,Timberwolves,Michael Beasley,,activated from IL,#REF!
4/4/2012,Timberwolves,,Michael Beasley,sprained left big toe (DNP),#REF!
4/5/2012,Bulls,,Derrick Rose,placed on IL with strained groin,#REF!
4/5/2012,Knicks,,Jeremy Lin,placed on IL recovering from surgery on left knee to repair torn meniscus (out for season),#REF!
4/5/2012,Knicks,Jared Jeffries,,activated from IL,#REF!
4/5/2012,Magic,,Quentin Richardson,placed on IL with sore back,#REF!
4/5/2012,Magic,Jameer Nelson,,activated from IL,#REF!
4/5/2012,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP),#REF!
4/5/2012,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),#REF!
4/6/2012,Bobcats,,D.J. Augustine,left knee tendinitis (DNP),#REF!
4/6/2012,Bobcats,,Reggie Williams,left knee injury (DTD),#REF!
4/6/2012,Bucks,,Drew Gooden,sore back (DNP),#REF!
4/6/2012,Bucks,,Luc Mbah a Moute,sore right knee (DNP),#REF!
4/6/2012,Cavaliers,,Anthony Parker,sternum injury (DTD),#REF!
4/6/2012,Cavaliers,,Daniel Gibson,recovering from surgery on left foot and ankle to repair torn tendon (DNP),#REF!
4/6/2012,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP),#REF!
4/6/2012,Grizzlies,,Tony Allen,mouth injury (DNP),#REF!
4/6/2012,Hornets,,Chris Johnson ,concussion (DNP),#REF!
4/6/2012,Hornets,,Jarrett Jack,sprained right foot (DNP),#REF!
4/6/2012,Magic,,Hedo Turkoglu,surgery to repair facial fracture (out for season),#REF!
4/6/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
4/6/2012,Nuggets,,Wilson Chandler,strained left groin (DNP),#REF!
4/6/2012,Raptors,,Gary Forbes,placed on IL with sore left knee,#REF!
4/6/2012,Raptors,,Jose Calderon,facial injury (DNP),#REF!
4/6/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
4/6/2012,Suns,,Grant Hill,recovering from surgery on right knee to repair torn meniscus (DNP),#REF!
4/6/2012,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP),#REF!
4/6/2012,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),#REF!
4/7/2012,Bobcats,,D.J. Augustine,right knee tendinitis (DNP),#REF!
4/7/2012,Bobcats,,Eduardo Najera,placed on IL with fractured frontal bone (out for season),#REF!
4/7/2012,Bobcats,,Reggie Williams,sore left knee (DNP),#REF!
4/7/2012,Bobcats,Corey Maggette,,activated from IL,#REF!
4/7/2012,Bucks,,Luc Mbah a Moute,placed on IL with right knee injury,#REF!
4/7/2012,Bucks,Carlos Delfino,,activated from IL,#REF!
4/7/2012,Grizzlies,,Tony Allen,mouth injury (DNP),#REF!
4/7/2012,Hornets,,Chris Johnson ,concussion (DNP),#REF!
4/7/2012,Hornets,,Jarrett Jack,sore right foot (DNP),#REF!
4/7/2012,Kings,,Chuck Hayes,food poisoning (DNP),#REF!
4/7/2012,Lakers,,Kobe Bryant,bruised left shin (DNP),#REF!
4/7/2012,Magic,,Hedo Turkoglu,recovering from surgery to repair facial fracture (DNP),#REF!
4/7/2012,Suns,,Grant Hill,recovering from surgery on right knee to repair torn meniscus (DNP),#REF!
4/7/2012,Timberwolves,,Darko Milicic,strained right hamstring (DNP),#REF!
4/8/2012,Bulls,,Brian Scalabrine,placed on IL,#REF!
4/8/2012,Bulls,Derrick Rose,,activated from IL,#REF!
4/8/2012,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP),#REF!
4/8/2012,Heat,,Dwyane Wade,placed on IL with sore right ankle,#REF!
4/8/2012,Heat,Eddy Curry,,activated from IL,#REF!
4/8/2012,Heat,Mike Miller,,activated from IL,#REF!
4/8/2012,Kings,,Francisco Garcia,concussion (DNP),#REF!
4/8/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
4/8/2012,Raptors,,Solomon Alabi,placed on IL (P),#REF!
4/8/2012,Raptors,Gary Forbes,,activated from IL,#REF!
4/8/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
4/8/2012,Rockets,Kyle Lowry,,activated from IL (P),#REF!
4/8/2012,Spurs,,DeJuan Blair,DNP,#REF!
4/8/2012,Spurs,,Stephen Jackson,DNP,#REF!
4/9/2012,Blazers,,Nicolas Batum,left quadricep injury (DNP),#REF!
4/9/2012,Bobcats,,D.J. Augustine,right knee tendinitis (DNP),#REF!
4/9/2012,Bobcats,,Reggie Williams,sore left knee (DNP),#REF!
4/9/2012,Bucks,,Jon Leuer,placed on IL,#REF!
4/9/2012,Bucks,Luc Mbah a Moute,,activated from IL,#REF!
4/9/2012,Grizzlies,,Tony Allen,mouth injury (DNP),#REF!
4/9/2012,Hornets,,Chris Johnson ,concussion (DNP),#REF!
4/9/2012,Hornets,,Eric Gordon,tightness in lower back (DNP),#REF!
4/9/2012,Hornets,,Jarrett Jack,stress fracture in right foot (DNP),#REF!
4/9/2012,Jazz,,C.J. Miles,strained left calf (P) / surgery on right knee (CBC) (DNP),#REF!
4/9/2012,Jazz,,Earl Watson,torn medial meniscus (P) / strained left calf (CBC) (DNP),#REF!
4/9/2012,Lakers,,Kobe Bryant,sore left shin (DNP),#REF!
4/9/2012,Magic,,Dwight Howard,placed on IL with back spasms / herniated disc in back (out for season),#REF!
4/9/2012,Magic,,Hedo Turkoglu,placed on IL recovering from surgery to repair facial fracture,#REF!
4/9/2012,Magic,Quentin Richardson,,activated from IL,#REF!
4/9/2012,Magic,Ryan Anderson,,activated from IL,#REF!
4/9/2012,Mavericks,,Lamar Odom,placed on IL,#REF!
4/9/2012,Nuggets,,Wilson Chandler,placed on IL with strained left groin,#REF!
4/9/2012,Nuggets,Danilo Gallinari,,activated from IL,#REF!
4/9/2012,Pacers,,Darren Collison,sore groin (DNP),#REF!
4/9/2012,Raptors,,Andrea Bargnani,placed on IL with left calf injury (out for season),#REF!
4/9/2012,Raptors,Solomon Alabi,,activated from IL,#REF!
4/9/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
4/9/2012,Spurs,, Tony Parker,rest (DNP),#REF!
4/9/2012,Spurs,,Manu Ginobili,rest (DNP) (P),#REF!
4/9/2012,Spurs,,Tim Duncan,rest (DNP),#REF!
4/9/2012,Suns,,Grant Hill,recovering from surgery on right knee to repair torn meniscus (DNP),#REF!
4/9/2012,Timberwolves,,Darko Milicic,strained right hamstring (DNP),#REF!
4/9/2012,Warriors,Chris Wright ,,activated from IL,#REF!
4/9/2012,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP),#REF!
4/9/2012,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),#REF!
4/9/2012,Mavericks,Kelenna Azubuike,,activated from IL,#REF!
4/10/2012,Bobcats,,Reggie Williams,sore left knee (DNP),#REF!
4/10/2012,Bulls,,Derrick Rose,placed on IL with sprained right ankle,#REF!
4/10/2012,Bulls,Brian Scalabrine,,activated from IL,#REF!
4/10/2012,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP),#REF!
4/10/2012,Cavaliers,Anthony Parker,,returned to lineup,#REF!
4/10/2012,Heat,,Dexter Pittman,placed on IL,#REF!
4/10/2012,Heat,Dwyane Wade,,activated from IL,#REF!
4/10/2012,Kings,,Francisco Garcia,concussion (DNP),#REF!
4/10/2012,Kings,Marcus Thornton ,,returned to lineup,#REF!
4/10/2012,Mavericks,,Kelenna Azubuike,placed on IL,#REF!
4/10/2012,Mavericks,Jason Kidd,,activated from IL,#REF!
4/10/2012,Nets,,Gerald Wallace,strained left hamstring (DNP),#REF!
4/10/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
4/10/2012,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP),#REF!
4/10/2012,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),#REF!
4/11/2012,Blazers,,LaMarcus Aldridge,right hip injury (DNP),#REF!
4/11/2012,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP),#REF!
4/11/2012,Celtics,,Ray Allen,placed on IL with sore right ankle,#REF!
4/11/2012,Celtics,Mickael Pietrus,,activated from IL,#REF!
4/11/2012,Grizzlies,,Tony Allen,mouth injury (DNP),#REF!
4/11/2012,Hornets,,Eric Gordon,tightness in lower back (DNP),#REF!
4/11/2012,Hornets,,Jarrett Jack,stress fracture in right foot (DNP),#REF!
4/11/2012,Jazz,,C.J. Miles,strained gastrocnemius (DNP),#REF!
4/11/2012,Jazz,,Jeremy Evans,sprained right ankle (DNP),#REF!
4/11/2012,Kings,,Francisco Garcia,concussion (DNP),#REF!
4/11/2012,Lakers,,Kobe Bryant,left shin injury (DNP),#REF!
4/11/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
4/11/2012,Spurs,,Gary Neal,gastroenteritis (DNP),#REF!
4/11/2012,Suns,,Grant Hill,recovering from surgery on right knee to repair torn meniscus (DNP),#REF!
4/11/2012,Timberwolves,,Wayne Ellington,back spasms (DNP),#REF!
4/12/2012,Blazers,,LaMarcus Aldridge,surgery on right hip to repair torn labrum (out for season) (date approximate),#REF!
4/12/2012,Bobcats,,Corey Maggette,strained right Achilles tendon (DNP),#REF!
4/12/2012,Bobcats,,Tyrus Thomas,bruised right knee (DNP),#REF!
4/12/2012,Bobcats,DeSagana Diop,,activated from IL,#REF!
4/12/2012,Bulls,,Brian Scalabrine,placed on IL,#REF!
4/12/2012,Bulls,Derrick Rose,,activated from IL,#REF!
4/12/2012,Clippers,Mo Williams,,activated from IL,#REF!
4/12/2012,Grizzlies,,Tony Allen,mouth injury (DNP),#REF!
4/12/2012,Timberwolves,,Darko Milicic,strained right hamstring (DNP),#REF!
4/12/2012,Timberwolves,,Kevin Love,concussion (DNP),#REF!
4/12/2012,Timberwolves,,Wayne Ellington,back spasms (DNP),#REF!
4/13/2012,Blazers,,LaMarcus Aldridge,right hip injury (DNP),#REF!
4/13/2012,Bobcats,,Corey Maggette,sore right Achilles tendon (DNP),#REF!
4/13/2012,Bobcats,,DeSagana Diop,sore left Achilles tendon (DNP),#REF!
4/13/2012,Bobcats,,Tyrus Thomas,bruised right knee (DNP),#REF!
4/13/2012,Bucks,,Luc Mbah a Moute,DNP,#REF!
4/13/2012,Cavaliers,,Daniel Gibson,recovering from surgery on left foot and ankle to repair torn tendon (DNP),#REF!
4/13/2012,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP),#REF!
4/13/2012,Cavaliers,,Semih Erden,sprained right ankle (DNP),#REF!
4/13/2012,Hawks,Vladimir Radmanovic,,activated from IL,#REF!
4/13/2012,Heat,,Dwyane Wade,sore right ankle (DNP),#REF!
4/13/2012,Heat,,Mike Miller,ankle injury (DNP),#REF!
4/13/2012,Heat,,Ronny Turiaf,placed on IL with strained left hamstring,#REF!
4/13/2012,Heat,,Udonis Haslem,placed on IL with stomach virus,#REF!
4/13/2012,Heat,Dexter Pittman,,activated from IL,#REF!
4/13/2012,Heat,Eddy Curry,,activated from IL (P),#REF!
4/13/2012,Hornets,,Chris Johnson ,placed on IL,#REF!
4/13/2012,Hornets,,Jarrett Jack,stress fracture in right foot (DNP),#REF!
4/13/2012,Jazz,,C.J. Miles,strained gastrocnemius (DNP),#REF!
4/13/2012,Jazz,,Earl Watson,knee injury (DNP),#REF!
4/13/2012,Jazz,,Jeremy Evans,sprained right ankle (DNP),#REF!
4/13/2012,Kings,,Hassan Whiteside,sprained right ankle (DTD),#REF!
4/13/2012,Lakers,,Kobe Bryant,left shin injury (DNP),#REF!
4/13/2012,Magic,,Chris Duhon,foot injury (DTD),#REF!
4/13/2012,Mavericks,,Jason Kidd,placed on IL for rest,#REF!
4/13/2012,Mavericks,Kelenna Azubuike,,activated from IL,#REF!
4/13/2012,Nets,,Gerald Wallace,strained left hamstring (DNP),#REF!
4/13/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
4/13/2012,Pacers,,Darren Collison,placed on IL with sore groin,#REF!
4/13/2012,Pacers,Kyrylo Fesenko,,activated from IL,#REF!
4/13/2012,Raptors,,Jose Calderon,facial injury (DNP),#REF!
4/13/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
4/13/2012,Thunder,,James Harden,sore right knee (DNP),#REF!
4/13/2012,Thunder,,Lazar Hayward,placed on IL with flu,#REF!
4/13/2012,Thunder,Reggie Jackson ,,activated from IL,#REF!
4/13/2012,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP),#REF!
4/13/2012,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),#REF!
4/13/2012,Hawks,,Ivan Johnson,placed on IL,#REF!
4/14/2012,Cavaliers,,Antawn Jamison,rest (DNP),#REF!
4/14/2012,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP),#REF!
4/14/2012,Cavaliers,,Semih Erden,placed on IL,#REF!
4/14/2012,Jazz,,C.J. Miles,strained gastrocnemius (DNP),#REF!
4/14/2012,Jazz,,Earl Watson,knee injury (DNP),#REF!
4/14/2012,Jazz,,Jeremy Evans,sprained right ankle (DNP),#REF!
4/14/2012,Nets,,Gerald Wallace,strained left hamstring (DNP),#REF!
4/14/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
4/14/2012,Thunder,,Reggie Jackson ,placed on IL,#REF!
4/14/2012,Thunder,Lazar Hayward,,activated from IL,#REF!
4/14/2012,Timberwolves,,Darko Milicic,strained right hamstring (DNP),#REF!
4/14/2012,Timberwolves,,Kevin Love,concussion (DNP),#REF!
4/14/2012,Warriors,,David Lee,strained groin (DNP),#REF!
4/14/2012,Warriors,,Richard Jefferson,right knee injury (DNP),#REF!
4/14/2012,Wizards,,Nene Hilario ,plantar fasciitis in left foot (DNP),#REF!
4/14/2012,Wizards,,Trevor Booker,plantar fasciitis in left foot (DNP),#REF!
4/14/2012,Cavaliers,Luke Harangody,,activated from IL,#REF!
4/15/2012,Blazers,,LaMarcus Aldridge,right hip injury (DNP),#REF!
4/15/2012,Bobcats,,Corey Maggette,placed on IL with sore right Achilles tendon (out for season),#REF!
4/15/2012,Cavaliers,,Kyrie Irving,sprained right shoulder (DNP),#REF!
4/15/2012,Cavaliers,Semih Erden,,activated from IL,#REF!
4/15/2012,Celtics,,Kevin Garnett,rest (DNP),#REF!
4/15/2012,Celtics,,Paul Pierce,toe injury / rest (DNP),#REF!
4/15/2012,Grizzlies,Josh Selby,,activated from IL,#REF!
4/15/2012,Hawks,,Zaza Pachulia,placed on IL with sprained left ankle (out for season),#REF!
4/15/2012,Heat,,Eddy Curry,placed on IL,#REF!
4/15/2012,Heat,Udonis Haslem,,activated from IL,#REF!
4/15/2012,Hornets,,Jarrett Jack,stress fracture in right foot (DNP),#REF!
4/15/2012,Lakers,,Kobe Bryant,left shin injury (DNP),#REF!
4/15/2012,Magic,Chris Duhon,,returned to lineup,#REF!
4/15/2012,Mavericks,,Rodrigue Beaubois,placed on IL with strained right calf,#REF!
4/15/2012,Mavericks,Jason Kidd,,activated from IL,#REF!
4/15/2012,Nuggets,,Julyan Stone,placed on IL,#REF!
4/15/2012,Nuggets,Wilson Chandler,,activated from IL,#REF!
4/15/2012,Raptors,,Jose Calderon,right eye injury (DNP),#REF!
4/15/2012,Rockets,,Kevin Martin,strained right shoulder (DNP),#REF!
4/15/2012,Cavaliers,,Luke Harangody,placed on IL,#REF!
4/15/2012,Hawks,Ivan Johnson,,activated from IL,#REF!
4/16/2012,Blazers,,LaMarcus Aldridge,right hip injury (DNP),#REF!
4/16/2012,Blazers,,Nicolas Batum,quadriceps injury (DNP),#REF!
4/16/2012,Blazers,,Raymond Felton,sore Achilles tendon (DNP),#REF!
4/16/2012,Bobcats,,D.J. Augustine,right knee tendinitis (DNP),#REF!
4/16/2012,Bobcats,,DeSagana Diop,strained left Achilles tendon (DNP),#REF!
4/16/2012,Bobcats,,Reggie Williams,concussion (DNP),#REF!
4/16/2012,Bulls,,Derrick Rose,placed on IL with sore right foot,#REF!
4/16/2012,Bulls,,Luol Deng,bruised ribs (DNP),#REF!
4/16/2012,Bulls,Brian Scalabrine,,activated from IL,#REF!
4/16/2012,Heat,,Dwyane Wade,right ankle injury (DNP),#REF!
4/16/2012,Heat,,Shane Battier,back injury (DNP),#REF!
4/16/2012,Hornets,,Chris Kaman,bruised left tibia (DNP),#REF!
4/16/2012,Hornets,,Eric Gordon,back injury / rest (DNP),#REF!
4/16/2012,Hornets,,Jarrett Jack,stress fracture in right foot (DNP),#REF!
4/16/2012,Magic,,Glen Davis,sprained right knee (DNP),#REF!
4/16/2012,Nets,,Deron Williams,sore right calf (DNP),#REF!
4/16/2012,Nets,,Gerald Wallace,strained left hamstring (DNP),#REF!
4/16/2012,Nets,,Jordan Farmar,sore right groin (DNP),#REF!
4/16/2012,Nuggets,,Wilson Chandler,placed on IL with groin injury (out for season),#REF!
4/16/2012,Nuggets,Julyan Stone,,activated from IL,#REF!
